budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,director_popularity,actor_popularity,writer_popularity
110000000,Twentieth Century Fox,USA,David Leitch,Action,785794179,Deadpool 2,R,15/05/18,119,7.7,Ryan Reynolds,460610,Rhett Reese,2018,2.57,24.035,1.708
23000000,Fox 2000 Pictures,USA,George Tillman Jr.,Crime,34934009,The Hate U Give,R,14/03/19,133,7.4,Amandla Stenberg,28869,Audrey Wells,2018,1.38,4.706,0.6
10000000,BBL Motion Picture Studios,USA,Steven C. Miller,Action,41037,Arsenal,R,6/01/17,97,4,Nicolas Cage,3940,Jason Mosberg,2017,2.268,19.001,0.6
10600000,Hollywood Gang Productions,USA,Mike P. Nelson,Action,59766,The Domestics,R,4/10/18,95,5.7,Kate Bosworth,8422,Mike P. Nelson,2018,0.6,8.167,0.6
13000000,BRON Studios,USA,Jason Reitman,Comedy,15636462,Tully,R,28/06/18,95,7,Charlize Theron,50843,Diablo Cody,2018,1.571,16.855,0.6
69000000,Paramount Pictures,USA,Sean Anders,Comedy,180613180,Daddy's Home 2,R,30/11/17,100,6,Will Ferrell,59328,Sean Anders,2017,0.6,6.185,1.96
35000000,Columbia Pictures,USA,Ari Sandel,Adventure,93320380,Goosebumps: Haunted Halloween,PG,18/10/18,90,5.6,Wendi McLendon-Covey,16490,Rob Lieber,2018,0.84,2.576,0.6
2600000,Dream Factory Group,USA,Mark Drury Taylor,Adventure,147941,Saving Flora,NOT RATED,4/04/19,95,5.7,Jenna Ortega,300,David Moss,2018,0.6,3.856,0.6
10000000,Screen Gems,USA,Sylvain White,Horror,51738549,Slender Man,R,6/09/18,93,3.2,Joey King,27028,David Birke,2018,1.4,9.343,0.828
5000000,Grodnik /Aloe Productions,USA,York Alec Shackleton,Action,49104,Disturbing the Peace,R,17/01/20,91,3.2,Guy Pearce,1265,Chuck Hustmyre,2020,0.694,11.987,0.6
19000000,A24,USA,Benny Safdie,Crime,50023780,Uncut Gems,R,31/01/20,135,7.4,Mesfin Lamengo,199124,Ronald Bronstein,2019,1.399,1.094,1.01
7700000,Screen Gems,USA,Diederik Van Rooijen,Horror,43016528,The Possession of Hannah Grace,R,31/01/19,86,5.2,Shay Mitchell,17040,Brian Sieve,2018,0.716,1.591,0.694
80000000,20th Century Fox Film Corporation,USA,William Eubank,Action,40882928,Underwater,PG-13,30/01/20,95,5.8,Kristen Stewart,48505,Brian Duffield,2020,1.4,13.055,0.698
18000000,Rampage Films,USA,Dwight H. Little,Action,12944,Last Rampage: The Escape of Gary Tison,R,22/09/17,93,5.7,Robert Patrick,1448,James W. Clarke,2017,1.553,5.718,0.6
150000000,Warner Bros.,USA,Rob Letterman,Action,433005346,Pokemon: Detective Pikachu,PG,9/05/19,104,6.6,Ryan Reynolds,130487,Dan Hernandez,2019,1,24.035,0.619
2300000,Fortress Features,USA,Stephan Rick,Horror,19513,The Super,R,19/10/18,90,5.9,Patrick John Flueger,11393,John J. McLaughlin,2017,0.6,2.744,0.657
9000000,Columbia Pictures,USA,Adam Robitel,Action,155712077,Escape Room,R,14/03/19,99,6.3,Taylor Russell,77941,Bragi F. Schut,2019,2.493,3.493,1.4
25000000,DreamWorks,USA,Rupert Wyatt,Action,8808611,Captive State,PG-13,28/03/19,109,6,John Goodman,46043,Erica Beeney,2019,0.6,7.693,0.6
22000000,Twentieth Century Fox,USA,David Bowers,Comedy,40140972,Diary of a Wimpy Kid: The Long Haul,PG,10/08/17,91,4.3,Jason Drucker,6799,Jeff Kinney,2017,0.6,0.65,0.694
260000000,Walt Disney Pictures,USA,Jon Favreau,Animation,1656963790,The Lion King,PG,21/08/19,118,6.9,Chiwetel Ejiofor,199521,Jeff Nathanson,2019,9.791,9.523,2.789
5000000,Triple Horse Studios,USA,Jon Gunn,Biography,18175663,The Case for Christ,PG,7/04/17,112,6.3,Erika Christensen,7536,Brian Bird,2017,0.716,1.763,0.6
75000000,Lionsgate,USA,Chad Stahelski,Action,326709727,John Wick 3 - Parabellum,R,16/05/19,130,7.5,Keanu Reeves,258107,Derek Kolstad,2019,2.156,30.707,1.165
