budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,director_popularity,actor_popularity,writer_popularity
11000000,Dog Eat Dog Films,USA,Michael Moore,Comedy,178104,Canadian Bacon,PG,22/09/95,91,5.9,John Candy,14286,Michael Moore,1995,2.079,2.247,0.6
33000000,Paramount Pictures,USA,John Badham,Action,8169363,Nick of Time,R,22/11/95,90,6.3,Johnny Depp,34436,Patrick Sheane Duncan,1995,1.882,21.581,0.98
40000000,Twentieth Century Fox Film Corporation,USA,Barbet Schroeder,Action,14942422,Kiss of Death,R,21/04/95,101,5.9,David Caruso,14977,Eleazar Lipsky,1995,1.949,1.737,0.6
17000000,Paramount Pictures,USA,Stephen Gyllenhaal,Drama,7603766,Losing Isaiah,R,17/03/95,111,6.4,Jessica Lange,4713,Seth Margolis,1995,0.679,1.4,0.6
21000000,Alcor Films,USA,Herbert Ross,Comedy,23450000,Boys on the Side,R,3/02/95,115,6.4,Whoopi Goldberg,10182,Don Roos,1995,1.62,3.003,1.396
32000000,Caravan Pictures,USA,Jeremiah S. Chechik,Adventure,8247627,Tall Tale,PG,24/03/95,98,5.9,Patrick Swayze,2814,Steve Bloom,1995,1.4,1.665,0.98
15000000,Metro-Goldwyn-Mayer (MGM),USA,Carlo Carlei,Drama,3987649,Fluke,PG,2/06/95,96,6.7,Matthew Modine,5577,James Herbert,1995,0.94,7.252,0.6
15000000,TriStar Pictures,USA,Brett Leonard,Fantasy,12201255,Hideaway,R,3/03/95,106,5.3,Jeff Goldblum,5398,Dean R. Koontz,1995,1.128,1.578,1.4
14000000,Touchstone Pictures,USA,James Ivory,Biography,2474000,Jefferson in Paris,PG-13,31/03/95,139,5.7,Nick Nolte,2535,Ruth Prawer Jhabvala,1995,1.4,1.4,1.094
150000,Party Productions,USA,Daisy von Scherler Mayer,Comedy,472370,Party Girl,R,9/06/95,94,6.6,Parker Posey,3784,Harry Birckmayer,1995,1.4,0.996,0.6
11000000,"Samuel Goldwyn Company, The",USA,Mira Nair,Comedy,2832826,The Perez Family,R,12/05/95,100,6.1,Marisa Tomei,1847,Christine Bell,1995,1.291,1.4,0.6
22000000,Hollywood Pictures,USA,Peter Yates,Comedy,12100000,Roommates,PG,3/03/95,108,6.4,Peter Falk,1509,Max Apple,1995,0.608,12.513,0.6
75000000,Twentieth Century Fox Film Corporation,USA,Roland Emmerich,Action,306169255,Independence Day,PG-13,3/07/96,145,7,Will Smith,461225,Dean Devlin,1996,2.944,21.055,1.388
14500000,Bazmark Films,USA,Baz Luhrmann,Drama,46351345,Romeo + Juliet,PG-13,1/11/96,120,6.8,Leonardo DiCaprio,180239,William Shakespeare,1996,1.4,1.639,1.62
80000000,Paramount Pictures,USA,Brian De Palma,Action,180981856,Mission: Impossible,PG-13,22/05/96,110,7.1,Tom Cruise,323291,Bruce Geller,1996,3.109,15.992,2.104
80000000,Warner Bros. Family Entertainment,USA,Joe Pytka,Animation,90463534,Space Jam,PG,15/11/96,88,6.3,Michael Jordan,124368,Leo Benvenuti,1996,0.6,3.227,1.422
75000000,Hollywood Pictures,USA,Michael Bay,Action,134069511,The Rock,R,7/06/96,136,7.4,Sean Connery,274324,David Weisberg,1996,1.4,11.497,0.6
36000000,Columbia Pictures Corporation,USA,Milos Forman,Biography,20191312,The People vs. Larry Flynt,R,10/01/97,129,7.3,Woody Harrelson,76047,Scott Alexander,1996,2.73,5.841,1.306
25000000,Twentieth Century Fox Film Corporation,USA,Nicholas Hytner,Drama,7340103,The Crucible,PG-13,27/11/96,124,6.8,Daniel Day-Lewis,30726,Arthur Miller,1996,0.732,6.415,0.84
75000000,Walt Disney Pictures,USA,Stephen Herek,Adventure,136189294,101 Dalmatians,G,27/11/96,103,5.7,Glenn Close,81872,Dodie Smith,1996,0.66,3.211,0.6
8500000,Paramount Pictures,USA,Tom Holland,Fantasy,15171475,Thinner,R,25/10/96,93,5.7,Joe Mantegna,22170,Stephen King,1996,0.725,3.679,6.828
100000000,Kopelson Entertainment,USA,Chuck Russell,Action,101295562,Eraser,R,21/06/96,115,6.1,Arnold Schwarzenegger,90008,Tony Puryear,1996,0.833,9.394,0.6
80000000,Touchstone Pictures,USA,Ron Howard,Action,136492681,Ransom,R,8/11/96,121,6.6,Mel Gibson,104513,Cyril Hume,1996,4.23,1.442,1.22
32000000,Touchstone Pictures,USA,Jon Turteltaub,Drama,104636382,Phenomenon,PG,3/07/96,123,6.4,John Travolta,66920,Gerald Di Pego,1996,1.699,12.513,0.65
46000000,Davis Entertainment,USA,Edward Zwick,Action,59031057,Courage Under Fire,R,12/07/96,116,6.6,Denzel Washington,43118,Patrick Sheane Duncan,1996,3.567,0.6,0.98
45000000,Paramount Pictures,USA,Simon Wincer,Action,17300889,The Phantom,PG,7/06/96,100,4.9,Billy Zane,28886,Lee Falk,1996,0.772,5.735,0.84
38000000,Hollywood Pictures,USA,Ridley Scott,Adventure,10300000,White Squall,PG-13,2/02/96,129,6.6,Jeff Bridges,18875,Charles Gieg Jr.,1996,3.975,1.823,0.6
47000000,NFH Productions,USA,Stephen Frears,Drama,5600000,Mary Reilly,R,23/02/96,108,5.8,Julia Roberts,12455,Valerie Martin,1996,0.84,1.4,0.6
8000000,Miramax,USA,Matt Reeves,Comedy,5612586,The Pallbearer,PG-13,3/05/96,98,5,David Schwimmer,7080,Jason Katims,1996,2.757,6.651,0.6
116000000,Universal Pictures,USA,Roger Donaldson,Action,67127760,Dante's Peak,PG-13,7/02/97,108,5.9,Pierce Brosnan,67277,Leslie Bohem,1997,1.546,4.785,0.6
